S3,2021-11-25 14:08:41,36.3
S1,2021-11-25 14:18:27,52.4
S2,2021-11-25 16:17:58,63.8
S2,2021-11-25 18:43:50,48.2
SB,2021-11-25 19:09:34,47.0
S3,2021-11-25 19:27:00,35.1
S3,2021-11-25 21:23:35,51.0
SB,2021-11-25 23:52:56,44.1
S2,2021-11-26 01:42:38,57.5
S2,2021-11-26 03:38:37,51.7
SB,2021-11-26 06:06:47,51.5
SB,2021-11-26 08:18:21,44.2
SD,2021-11-26 08:48:20,64.8
S3,2021-11-26 10:21:12,42.0
SD,2021-11-26 12:14:51,46.4
S3,2021-11-26 14:20:00,37.8
S3,2021-11-26 15:19:30,59.0
SD,2021-11-26 17:52:04,36.8
SB,2021-11-26 20:15:47,46.1
S3,2021-11-26 22:25:23,61.6
S1,2021-11-27 00:48:07,30.5
SB,2021-11-27 01:45:19,38.1
S3,2021-11-27 04:16:01,62.3
SB,2021-11-27 04:29:20,55.0
S1,2021-11-27 04:54:52,32.5
S2,2021-11-27 05:37:56,35.7
SB,2021-11-27 08:13:46,57.3
S3,2021-11-27 09:47:36,55.6
SB,2021-11-27 11:59:32,36.2
SB,2021-11-27 13:09:30,34.4
S3,2021-11-27 15:47:07,40.5
SD,2021-11-27 16:02:01,43.2
S3,2021-11-27 16:56:31,55.7
SB,2021-11-27 17:35:39,31.6
S2,2021-11-27 18:25:21,50.0
SD,2021-11-27 18:44:43,52.5
S4,2021-11-27 19:05:25,52.4
SB,2021-11-27 19:54:48,47.3
S2,2021-11-27 20:15:33,53.9
S4,2021-11-27 21:03:04,30.4
S3,2021-11-27 21:12:05,45.3
S1,2021-11-27 23:25:09,48.3
S1,2021-11-28 00:33:55,45.5
SB,2021-11-28 02:29:40,60.6
SD,2021-11-28 03:41:23,32.1
S2,2021-11-28 05:43:46,32.2
SD,2021-11-28 06:10:22,37.4
S2,2021-11-28 07:39:47,41.3
S4,2021-11-28 09:00:43,49.6
SB,2021-11-28 11:15:17,44.3
S1,2021-11-28 13:10:56,57.5
S2,2021-11-28 15:11:10,42.7
S3,2021-11-28 16:52:22,35.0
SD,2021-11-28 17:00:24,54.4
S3,2021-11-28 17:33:46,53.5
SB,2021-11-28 19:41:02,35.0
S3,2021-11-28 20:53:07,31.0
S1,2021-11-28 22:36:31,60.7
S4,2021-11-29 00:50:01,36.6
S2,2021-11-29 01:09:08,47.0
S4,2021-11-29 03:49:36,33.5
S1,2021-11-29 03:55:18,61.1
SD,2021-11-29 04:10:02,48.2
S1,2021-11-29 06:06:25,56.8
S1,2021-11-29 08:39:35,64.0
S3,2021-11-29 10:05:06,60.3
SD,2021-11-29 11:53:32,57.4
S3,2021-11-29 13:03:02,50.1
S1,2021-11-29 14:06:08,62.1
SB,2021-11-29 16:37:57,53.2
S3,2021-11-29 17:06:51,36.6
S1,2021-11-29 18:56:30,33.4
S1,2021-11-29 20:36:23,45.0
SD,2021-11-29 22:46:53,35.5
SD,2021-11-30 00:30:45,39.2
SD,2021-11-30 01:14:43,30.5
S2,2021-11-30 03:45:25,36.3
S3,2021-11-30 04:39:14,50.7
S4,2021-11-30 06:36:08,38.1
S4,2021-11-30 08:03:30,62.4
S2,2021-11-30 10:45:39,57.6
S4,2021-11-30 13:08:20,52.2
S2,2021-11-30 14:44:36,30.9
SB,2021-11-30 17:10:10,36.0
SB,2021-11-30 18:22:57,31.6
SD,2021-11-30 20:07:20,52.4
S1,2021-11-30 20:59:16,43.0
S1,2021-11-30 23:29:40,52.1
SB,2021-12-01 00:49:59,31.0
SB,2021-12-01 02:29:24,48.9
S1,2021-12-01 04:54:06,47.9
SD,2021-12-01 06:17:46,47.4
SD,2021-12-01 07:19:10,37.3
SD,2021-12-01 09:03:54,45.4
S1,2021-12-01 11:48:34,43.1
SB,2021-12-01 11:50:22,50.9
S1,2021-12-01 13:21:00,56.3
S2,2021-12-01 14:59:15,48.9
S1,2021-12-01 16:31:44,36.0
S3,2021-12-01 16:57:43,53.6
SB,2021-12-01 18:38:44,40.7
S1,2021-12-01 19:59:47,59.4
SB,2021-12-01 21:49:46,32.0
S2,2021-12-01 23:21:16,30.9
SD,2021-12-02 00:33:09,45.0
SB,2021-12-02 03:08:26,64.2
S3,2021-12-02 03:51:31,63.8
S1,2021-12-02 05:03:30,60.8
S2,2021-12-02 07:14:44,60.2
SB,2021-12-02 09:56:20,55.9
S2,2021-12-02 10:50:49,43.8
S1,2021-12-02 12:19:58,54.7
S4,2021-12-02 12:42:33,30.9
S3,2021-12-02 14:11:46,63.3
SB,2021-12-02 15:41:36,58.6
S1,2021-12-02 17:42:30,48.5
S4,2021-12-02 18:01:12,35.5
SB,2021-12-02 18:33:41,61.6
S2,2021-12-02 20:32:01,62.5
SD,2021-12-02 21:42:34,55.4
SD,2021-12-03 00:25:14,64.6
S2,2021-12-03 01:18:13,31.6
SB,2021-12-03 03:03:50,53.1
SD,2021-12-03 05:04:24,44.4
SD,2021-12-03 07:42:46,34.2
SB,2021-12-03 07:44:53,32.0
S1,2021-12-03 07:55:33,34.2
SB,2021-12-03 08:51:05,41.3
S1,2021-12-03 10:28:18,41.0
SD,2021-12-03 11:49:57,59.7
SD,2021-12-03 13:59:23,58.1
S4,2021-12-03 14:49:13,53.1
S2,2021-12-03 17:29:52,57.0
S1,2021-12-03 19:38:31,39.2
S3,2021-12-03 22:03:14,58.9
S2,2021-12-04 00:07:08,36.1
SD,2021-12-04 02:17:37,39.8
S3,2021-12-04 04:42:42,52.3
S4,2021-12-04 06:23:42,59.2
SD,2021-12-04 08:14:18,33.2
S1,2021-12-04 10:16:01,32.5
SB,2021-12-04 12:31:30,32.9
S4,2021-12-04 14:13:08,35.7
S1,2021-12-04 15:29:42,53.5
S2,2021-12-04 16:17:13,64.0
S3,2021-12-04 18:40:19,46.4
SB,2021-12-04 20:03:07,61.1
SD,2021-12-04 20:26:34,34.5
SB,2021-12-04 22:01:00,42.3
SD,2021-12-04 22:28:40,62.1
S2,2021-12-05 00:46:37,47.0
S1,2021-12-05 02:40:21,63.2
S1,2021-12-05 03:12:04,45.5
S1,2021-12-05 05:15:54,50.8
S2,2021-12-05 05:17:39,52.7
S4,2021-12-05 06:59:16,32.4
SD,2021-12-05 08:50:20,36.2
S2,2021-12-05 09:51:03,61.3
S4,2021-12-05 10:24:51,45.3
S2,2021-12-05 13:02:10,31.4
S3,2021-12-05 15:04:01,63.5
S4,2021-12-05 15:45:12,56.2
S4,2021-12-05 16:16:02,38.8
SD,2021-12-05 16:19:46,44.3
SD,2021-12-05 16:24:11,54.7
S1,2021-12-05 17:13:10,43.4
SB,2021-12-05 18:33:00,41.2
S3,2021-12-05 19:20:34,63.1
S3,2021-12-05 21:23:42,34.7
S3,2021-12-05 23:02:21,45.8
S2,2021-12-06 00:27:32,58.3
S1,2021-12-06 01:34:25,54.1
SD,2021-12-06 03:20:15,54.2
S3,2021-12-06 05:50:15,64.4
S4,2021-12-06 08:06:24,32.8
S3,2021-12-06 10:14:26,44.5
SB,2021-12-06 10:45:49,46.1
S3,2021-12-06 10:54:40,40.1
S3,2021-12-06 12:54:40,63.0
S4,2021-12-06 12:56:49,35.9
S4,2021-12-06 14:39:18,34.3
S4,2021-12-06 16:52:21,44.8
S4,2021-12-06 18:32:24,56.0
S4,2021-12-06 18:35:09,42.8
S4,2021-12-06 20:30:27,48.6
S3,2021-12-06 21:26:46,59.9
SB,2021-12-06 23:51:08,34.4
S3,2021-12-07 01:51:14,50.0
S3,2021-12-07 04:36:40,57.4
SD,2021-12-07 06:03:16,49.8
S4,2021-12-07 08:07:30,38.9
S2,2021-12-07 09:34:43,59.1
S1,2021-12-07 11:57:59,34.6
S2,2021-12-07 13:47:31,54.9
S2,2021-12-07 15:39:19,38.8
S3,2021-12-07 15:54:45,61.0
S3,2021-12-07 18:00:58,64.2
S1,2021-12-07 18:15:44,48.8
SB,2021-12-07 18:22:51,36.6
SD,2021-12-07 19:54:55,31.9
S1,2021-12-07 21:41:38,63.0
S2,2021-12-07 22:10:57,31.3
S2,2021-12-07 22:29:32,40.3
S3,2021-12-08 00:26:15,45.8
S2,2021-12-08 02:26:45,58.1
S1,2021-12-08 03:35:34,38.1
SB,2021-12-08 04:28:59,33.4
SD,2021-12-08 06:58:16,40.5
S4,2021-12-08 08:36:25,46.6
S3,2021-12-08 10:36:00,43.7
S2,2021-12-08 12:23:03,37.4
S1,2021-12-08 12:36:16,33.0
S3,2021-12-08 14:44:24,61.5
SB,2021-12-08 15:19:56,36.7
S1,2021-12-08 16:58:34,61.6
S3,2021-12-08 18:26:25,62.8
S4,2021-12-08 20:28:54,59.6
S2,2021-12-08 23:08:28,61.7
SD,2021-12-09 01:47:53,41.1
S4,2021-12-09 03:35:18,51.5
S3,2021-12-09 05:08:51,54.1
S1,2021-12-09 07:39:23,36.0
S4,2021-12-09 08:18:54,36.7
S4,2021-12-09 10:18:09,49.4
S1,2021-12-09 11:13:20,62.2
S2,2021-12-09 13:43:59,54.7
S1,2021-12-09 14:49:54,40.2
SB,2021-12-09 16:19:32,59.8
SD,2021-12-09 17:50:33,32.6
S1,2021-12-09 18:41:44,39.5
S1,2021-12-09 20:49:50,61.8
S4,2021-12-09 21:37:34,50.6
SD,2021-12-09 23:01:42,65.0
S2,2021-12-10 01:03:48,55.3
S1,2021-12-10 03:08:02,64.5
S4,2021-12-10 03:56:20,34.4
S1,2021-12-10 06:40:48,45.4
S2,2021-12-10 08:23:00,48.4
S1,2021-12-10 09:16:50,44.4
S3,2021-12-10 11:36:20,43.1
SB,2021-12-10 11:52:18,48.2
SB,2021-12-10 14:25:38,48.2
S1,2021-12-10 16:13:25,45.9
S3,2021-12-10 17:08:40,51.5
S4,2021-12-10 19:06:23,57.0
SD,2021-12-10 20:41:16,63.7
S2,2021-12-10 23:05:28,32.0
S2,2021-12-11 01:43:54,32.5
S1,2021-12-11 04:02:27,60.6
SB,2021-12-11 05:06:16,52.0
SD,2021-12-11 05:35:35,41.6
S4,2021-12-11 07:19:51,42.6
SD,2021-12-11 07:53:21,32.5
S4,2021-12-11 09:10:57,50.4
S4,2021-12-11 11:02:29,52.9
SB,2021-12-11 13:20:04,50.5
SD,2021-12-11 15:25:35,38.1
SB,2021-12-11 16:40:15,33.5
S1,2021-12-11 17:32:41,51.3
S1,2021-12-11 18:47:48,57.7
S2,2021-12-11 20:35:14,32.9
S1,2021-12-11 22:53:04,55.6
S1,2021-12-11 23:40:20,30.9
S3,2021-12-12 00:49:00,63.8
S3,2021-12-12 03:17:28,51.5
S2,2021-12-12 04:36:58,53.3
S1,2021-12-12 05:46:24,38.7
S4,2021-12-12 06:34:35,37.3
SD,2021-12-12 07:40:48,54.4
S2,2021-12-12 08:19:16,47.2
SD,2021-12-12 10:24:17,55.8
SD,2021-12-12 11:11:05,43.3
SB,2021-12-12 12:34:25,47.5
S4,2021-12-12 15:08:07,58.9
S3,2021-12-12 16:41:26,43.5
S4,2021-12-12 17:25:25,50.0
SB,2021-12-12 18:46:40,60.2
S1,2021-12-12 21:24:07,32.9
S3,2021-12-12 22:54:36,52.2
S3,2021-12-13 01:19:54,45.0
S1,2021-12-13 01:25:46,56.9
S4,2021-12-13 02:54:51,51.6
S4,2021-12-13 03:33:15,50.2
SB,2021-12-13 04:12:13,45.4
S3,2021-12-13 04:39:46,46.2
SD,2021-12-13 05:50:10,40.1
S1,2021-12-13 08:07:31,36.0
SD,2021-12-13 08:28:08,46.6
SD,2021-12-13 10:12:45,55.1
SD,2021-12-13 12:01:42,46.3
S4,2021-12-13 14:05:55,44.4
SB,2021-12-13 14:17:53,47.1
S1,2021-12-13 14:27:17,53.8
S1,2021-12-13 16:35:10,63.1
S2,2021-12-13 19:20:47,60.1
SD,2021-12-13 20:31:33,48.9
S1,2021-12-13 22:14:44,51.9
S1,2021-12-13 23:12:17,40.4
SB,2021-12-13 23:55:07,40.8
SB,2021-12-14 00:44:30,60.0
